Card Name,Firecracker,Night Witch,Arrows,Goblin Cage,Bats,Goblin Barrel,Hog Rider,Mega Knight,Wizard,P.E.K.K.A,Balloon,Tesla,Lumberjack,Fireball,Zap,Archers,Barbarians,Baby Dragon,Zappies,Lightning,Electro Dragon,Miner,Lava Hound,Furnace,Mirror,Giant Skeleton,Golem,Mini P.E.K.K.A,Tornado,Barbarian Barrel,Knight,Skeletons,Ice Spirit,Earthquake,The Log,Royal Giant,Guards,Elite Barbarians,Valkyrie,Electro Wizard,Phoenix,Royal Ghost,Fisherman,Goblins,Electro Spirit,Executioner,Skeleton Dragons,Elixir Collector,Electro Giant,Bomber,Poison,Inferno Tower,Minions,Prince,Golden Knight,Skeleton Barrel,Inferno Dragon,Dark Prince,Goblin Giant,Mega Minion,Mother Witch,Rage,Sparky,Goblin Gang,Clone,Mighty Miner,Flying Machine,Bandit,Ice Wizard,Tombstone,Hunter,Skeleton King,Ram Rider,Giant Snowball,Skeleton Army,Royal Recruits,Rocket,Battle Ram,Bomb Tower,Wall Breakers,Cannon,Musketeer,Fire Spirit,Ice Golem,Dart Goblin,Royal Hogs,Monk,Magic Archer,X-Bow,Goblin Hut,Princess,Battle Healer,Elixir Golem,Bowler,Witch,Archer Queen,Mortar,Royal Delivery,Three Musketeers,Heal Spirit,Freeze,Graveyard,Giant,Spear Goblins,Minion Horde,Goblin Drill,Cannon Cart,Rascals,Barbarian Hut
Firecracker,0.0,0.5072353389185073,0.5061867655014446,0.4665171986547879,0.5042021464550235,0.5335352006056018,0.506939635706759,0.49729028802582154,0.5975107476775997,0.5086734868443562,0.5246249968380846,0.5433098889924582,0.5063562593285182,0.5207988723156366,0.4909048121811914,0.5466530022825733,0.5158289103965032,0.5692662389735365,0.49297696444337424,0.492863687897001,0.5123977974303354,0.5192338497448454,0.5506625097427903,0.5246742249611892,0.5560637013650293,0.5290139113058182,0.5063335405657445,0.5032934972228349,0.503776296624965,0.4806040174618217,0.5207476046015679,0.5227972996364896,0.5095326668216694,0.4923596520791355,0.5122245936627812,0.530088088583861,0.5097717194941698,0.5376761282417807,0.5560085076214109,0.49906036232428774,0.49859602649006624,0.46448527213778196,0.5031978810000646,0.462076080470117,0.4927511847676734,0.5510404603993403,0.5175784329181775,0.5128386336866902,0.5233339073531944,0.5658389766741911,0.496638200008789,0.5161564122303153,0.5040043341027937,0.5017888743556205,0.5399166151945646,0.4748171782378208,0.5016059957173448,0.49749697214372224,0.47937914329423764,0.49664569140360915,0.5254884068190302,0.5239886431451978,0.5040585263891308,0.4874877159613251,0.5540969162995595,0.48177248948610113,0.505729285551244,0.47377874440996065,0.5550524000517532,0.5200715608424092,0.5191210392133058,0.5370025216533275,0.5146466080045415,0.5,0.526874967289475,0.46777365630212353,0.5341574845471647,0.45437473918486576,0.4836648490899316,0.4844316959483686,0.5253272724069278,0.5236050105742639,0.540739580068944,0.5164998935490739,0.5362240717581612,0.5029510346837657,0.5214733187410371,0.577697145621674,0.5953354171675883,0.5139315713993035,0.5762405596997637,0.5258176988211855,0.5551987365096078,0.5017411764705882,0.5883162500256763,0.5118047218887555,0.5122062775141502,0.502607901942887,0.5259344012204424,0.4892436974789916,0.535296358787351,0.559135039717564,0.5068290017950519,0.507920973759863,0.5690296727411507,0.4853308096016519,0.5054905811981073,0.5211845607808341,0.550321199143469
Night Witch,0.5072353389185073,0.0,0.483917037229381,0.49624624624624625,0.5126924463209928,0.5827196858124694,0.5279266572637518,0.5043872538729586,0.5588235294117647,0.5573084352865422,0.5198347107438016,0.5615282096845846,0.4909520822274767,0.47711540756653537,0.4874233466749899,0.4912932138284251,0.4465113177984465,0.5038043763446503,0.5066666666666667,0.4915577163129886,0.48405342783153876,0.493301702483952,0.48966055403823644,0.5372514099139211,0.5364511691884457,0.5238921169022634,0.4883951524054352,0.49005502884041635,0.49265776314956644,0.47124807395993834,0.49082485465116277,0.4912045568771989,0.5456989247311828,0.5,0.5266805266805267,0.5221462920779549,0.5152291488756049,0.49645188759579906,0.538588299917605,0.5098134947759008,0.4893025840511253,0.5336134453781513,0.47823482428115016,0.47946319642130947,0.5147679324894515,0.5376593279258401,0.4817175444481718,0.46874606439696065,0.5174740484429066,0.48125735417717264,0.5024492652204339,0.5372656607224509,0.5124019503921984,0.5144808743169399,0.5402208201892744,0.5153144143017877,0.5037641154328732,0.4961181798576666,0.46153846153846156,0.48832403389129986,0.5350010086746015,0.4807567155135657,0.494949494949495,0.47816012620784853,0.5321550255536627,0.5590909090909091,0.4906776622445321,0.5103492884864166,0.5235849056603774,0.5022698383875068,0.49280575539568344,0.4735822171558849,0.5381333333333334,0.455177743431221,0.4943181818181818,0.4983241721410377,0.5209424083769634,0.5067300079176563,0.540453074433657,0.5384615384615384,0.5107411385606875,0.5075892857142857,0.6053571428571428,0.6229508196721312,0.5604172703564184,0.567342073897497,0.4883931263189629,0.573208722741433,0.6229508196721312,0.5284495021337127,0.5792605184870379,0.4958838267627959,0.4867433484373185,0.46442461679249597,0.5409951936669494,0.49175824175824173,0.5093632958801498,0.5248713550600344,0.5573033707865168,0.4874524714828897,0.5151291512915129,0.46178861788617886,0.4659777948774321,0.5407262021589794,0.49656526005888124,0.5249343832020997,0.5016867469879518,0.548447789275635,0.5306122448979592
Arrows,0.5061867655014446,0.483917037229381,0.0,0.4514302502604097,0.5016330883700778,0.5436808607364753,0.5195150798344175,0.5010511529686822,0.5895220844363941,0.5317689746605794,0.5008420658682635,0.5613787494617998,0.4998776169573944,0.4872861014324429,0.48786817857205067,0.48703111072143557,0.4572972780136278,0.5415003024803388,0.4562477917795313,0.49735589302985767,0.497787095271372,0.49564484405731946,0.47316224641937377,0.5378561736770692,0.5472700758792852,0.5226850276199702,0.4921306481638179,0.4913732187021552,0.5042055329665949,0.4650089223368764,0.4967695828947241,0.5079847908745247,0.5341823056300268,0.5085386007712285,0.5317,0.5174706246134818,0.5106741367314804,0.5327996396543958,0.5522467220811741,0.5041626388368285,0.4669735250638355,0.4531299834729914,0.46018213524510754,0.4431290011400509,0.48280379954143465,0.5391368192555704,0.45879404131261775,0.4540463692038495,0.5298797577072597,0.5287214692249017,0.49529153039359425,0.5394636792213717,0.49926130677214886,0.49909194290272757,0.5385153245542478,0.4772407431497534,0.4982624387728796,0.48966063124567133,0.4423278268962308,0.47478139904610495,0.4895203016749978,0.4758616702320088,0.46754076315347115,0.48397100497254025,0.5444174018862185,0.4773458924526052,0.4703438439835054,0.470125786163522,0.520060275004709,0.4878407682775712,0.4989288264698881,0.491312399038651,0.5285831840844184,0.46261285593024154,0.5291037573633005,0.447427917492394,0.551234062463446,0.4508102099277438,0.49771052287296674,0.4629383587986434,0.5303827254481279,0.5113729468222075,0.5395378085206729,0.5457086484708977,0.5175205824317888,0.4634185176339463,0.5140512589928058,0.5256543199634991,0.5770925110132159,0.5322773460848774,0.5588529813381884,0.49919103547459254,0.5086604734791729,0.47534780614584926,0.566171723692705,0.4895461499235084,0.49923664122137407,0.5177234148776835,0.48525970987365463,0.42527643400138215,0.5041597337770383,0.45967907536155356,0.4758469633121444,0.51159394895158,0.536526904505506,0.4972138876982426,0.49170180317574236,0.501635837422927,0.5428126621691749
Goblin Cage,0.4665171986547879,0.49624624624624625,0.4514302502604097,0.0,0.4901524233601644,0.5216295674086519,0.4734258271077908,0.4566047675490583,0.6017262638717632,0.5384615384615384,0.4875976113918236,0.5177304964539007,0.46548323471400394,0.4520424217702931,0.4900348779272546,0.4575077058564509,0.46215266687959117,0.4873035066505441,0.44560227355534504,0.4654872389791183,0.4955387783115992,0.5018353434714211,0.4810344827586207,0.5566037735849056,0.5074958356468628,0.5074626865671642,0.4983221476510067,0.49351659751037347,0.4673208665062026,0.4442483083259782,0.4805898937323791,0.4538371640046747,0.47886669763121226,0.4419551934826884,0.47047113470471136,0.4607101280558789,0.5065176908752328,0.5154929577464789,0.5063025210084033,0.468411779511704,0.456076703809277,0.4424778761061947,0.4383289124668435,0.43227815256875973,0.4560327198364008,0.501891551071879,0.4563710255797275,0.5,0.4615659955257271,0.5137195121951219,0.45818136083511507,0.6,0.4886113152094049,0.4956843403205919,0.48536942209217265,0.46815568332596197,0.48517359558933093,0.471521268925739,0.49292337725719865,0.47625822514671884,0.45874708839033956,0.4792321116928447,0.508646998982706,0.48003671408903165,0.5532544378698225,0.48417132216014896,0.44753712831416514,0.4774373259052925,0.5,0.5967078189300411,0.49246575342465754,0.508695652173913,0.47980535279805353,0.48388648388648386,0.5055928411633109,0.44332090067688906,0.5482625482625483,0.473421926910299,0.0,0.47200331812525925,0.0,0.48695652173913045,0.45661157024793386,0.5199306759098787,0.5091872791519435,0.44293870019030046,0.5042372881355932,0.49860917941585536,0.0,0.6164874551971327,0.554601226993865,0.4851258581235698,0.5180921052631579,0.4294320137693632,0.5381526104417671,0.48957528957528956,0.5145985401459854,0.44976685036032216,0.46963562753036436,0.48815566835871405,0.4759933774834437,0.451373422420193,0.543026706231454,0.5221987315010571,0.6412213740458015,0.5,0.504746835443038,0.5441640378548895,0.0
Bats,0.5042021464550235,0.5126924463209928,0.5016330883700778,0.4901524233601644,0.0,0.5424236238688168,0.5193788836991416,0.4900628230124099,0.5886516386129781,0.5508848102098546,0.5171611598111935,0.5921838248597793,0.5092523300904823,0.520145015537379,0.4890949420713422,0.5171868345805195,0.478685853923432,0.5799730486161501,0.4899641577060932,0.5012127619876858,0.5232945091514143,0.50110425893967,0.5116201859229748,0.5357100274233934,0.555409886635305,0.5299877600979193,0.5448598130841121,0.4982543640897756,0.5173820002422579,0.49115487316421896,0.516700054634857,0.5254853486512033,0.5427767980553835,0.5083651306134429,0.529202094824668,0.5031280411511192,0.5207857922412937,0.5608406192347798,0.5715944553305755,0.536868842364532,0.4886609071274298,0.4907730673316708,0.4838364947902752,0.4781817147408545,0.49549121974371146,0.5472985101418057,0.528006267136702,0.5056011949215833,0.5415931156222419,0.5495267072346179,0.505477530944493,0.5377046469323632,0.5309306078536847,0.4845530267153244,0.5652941176470588,0.4750174081237911,0.48922016510379096,0.4963893137917541,0.45925925925925926,0.5220772704465629,0.5086653386454183,0.506781878270449,0.47696500791278357,0.48477860880785684,0.5314210419622948,0.5252901248084082,0.5141391738286665,0.4828126439959451,0.565515610217597,0.5241542625169148,0.5145900880037054,0.5495900039047247,0.5318323715826317,0.47476050110537954,0.5147072732431666,0.49694420192078737,0.5501908825510892,0.5042072265302755,0.5130848061785237,0.4991281805977749,0.5432770117174855,0.5086914198303435,0.5818101739704911,0.5076852639152332,0.5337710299548626,0.5088655534515407,0.5308997758565482,0.5880111236996601,0.6293206197854588,0.534019439679817,0.5653605753074803,0.5616844602609727,0.5785866585440146,0.48267142644652683,0.5735960773429549,0.4952737649366863,0.5052078356426183,0.5134197130957889,0.5090225563909775,0.501017501017501,0.5219140837411637,0.46708382218745925,0.47268170426065165,0.5075372293449463,0.5047223271628258,0.489367816091954,0.48929440389294404,0.5405599425699928,0.6256410256410256
Goblin Barrel,0.5335352006056018,0.5827196858124694,0.5436808607364753,0.5216295674086519,0.5424236238688168,0.0,0.5915396952686447,0.5386213838111626,0.6506919905771495,0.6108955009343108,0.6327433628318584,0.566366035437752,0.6070381231671554,0.5666072964009335,0.5608649331176262,0.5138368580060423,0.4690838126540674,0.6519446275543836,0.5473372781065089,0.5343174846625767,0.6017699115044248,0.6153521720792915,0.7181818181818181,0.5528338995172537,0.5798901791340355,0.5706130836853522,0.6600910470409712,0.5585915492957747,0.5481539145907474,0.5208147676639083,0.5239870228480706,0.5453398991112178,0.5498161244695898,0.5603603603603604,0.5322761492872017,0.5174480554075652,0.5660215053763441,0.6244647445047102,0.6003871742951871,0.5904843794783605,0.5560836501901141,0.5310924369747899,0.5434985968194574,0.4806470588235294,0.5174813010958428,0.5885964912280702,0.6036697247706422,0.5894868585732165,0.6100433973961562,0.6064721178850043,0.5270823850705507,0.5395845663876441,0.5679924909069577,0.5130230898618686,0.607200647249191,0.48728170571744556,0.5837501389352007,0.5242567667504807,0.5680327868852459,0.5718175629680055,0.5567651632970451,0.6218390804597701,0.5560548722800378,0.5199109029842238,0.6788844621513944,0.5503902862098873,0.5381548974943052,0.5302654867256638,0.6110271903323263,0.5916134913400183,0.5616827743035816,0.5958333333333333,0.6147878787878788,0.525483870967742,0.555907090080176,0.46104995766299744,0.5361659718420573,0.58719646799117,0.5092285849503077,0.46799758015728976,0.5498152456548515,0.5780896871654574,0.5771476230191827,0.5933654360620653,0.5146502835538752,0.630019120458891,0.5756327251324308,0.6501486620416254,0.7072072072072072,0.5619345859429367,0.5285042958181041,0.6540284360189573,0.7240184757505773,0.5213982358706305,0.6442032363321569,0.5499580184718724,0.5307507987220448,0.5078074170461939,0.5610972568578554,0.6118421052631579,0.6015487504399859,0.7123287671232876,0.5615780445969125,0.5560715514275886,0.5783325698579936,0.6587837837837838,0.4889881902330035,0.4559073758970186,0.675
Hog Rider,0.506939635706759,0.5279266572637518,0.5195150798344175,0.4734258271077908,0.5193788836991416,0.5915396952686447,0.0,0.5031019946745119,0.5902367941712204,0.5304805756982547,0.588908017707821,0.5290644484251151,0.5371607800354562,0.5289133747792641,0.5150810990964302,0.5067098219843147,0.48932237385456406,0.6025429715093007,0.5118654250525684,0.4981912305869145,0.5384383479047332,0.5936914878294686,0.6474820143884892,0.5399140183764647,0.5600744923705395,0.5198763052928785,0.5894366197183099,0.5140515960560083,0.5108870214752568,0.5030321406913281,0.5032775412983044,0.5123455267506968,0.5035438645473944,0.4853696098562628,0.5068665024805976,0.5508208173244848,0.516003043367994,0.5667004127404408,0.5555480344541655,0.5173127347459429,0.4827586206896552,0.5124750972393511,0.51629392971246,0.46381439340352865,0.47893473040820783,0.528323781556387,0.5362467866323908,0.48493027440395864,0.5751356451993395,0.5536465216868918,0.49696969696969695,0.5211996596710153,0.5186896790216605,0.528125,0.5703568992952944,0.5032715376226826,0.5159852072028479,0.5094039106713206,0.5389527458492975,0.51181269202246,0.5609998016266614,0.5611845689100183,0.5288235294117647,0.5097304536129473,0.7069701280227596,0.4804258529633666,0.5241948278597494,0.5070679434564523,0.5388894407469952,0.5289088537893059,0.5371126591400432,0.636027143738433,0.5688935281837161,0.5190665907797382,0.5543752798925212,0.5021267766365806,0.533977044999089,0.5714285714285714,0.4690225587288755,0.5373073803730738,0.5209648615338179,0.5380992987234475,0.5296985815602837,0.528102050966968,0.5636152954808806,0.6363636363636364,0.5441422594142259,0.6141282803456751,0.708803611738149,0.5377813504823151,0.5703279541905257,0.625,0.7175531914893617,0.5129839095109129,0.5892129705067622,0.5188603531300161,0.4895301777230336,0.4739532402880256,0.5264873675631622,0.5805892547660312,0.5341594473078188,0.5970588235294118,0.5351612084285352,0.5279241306638567,0.5611416288512061,0.5606617647058824,0.5053988157436433,0.5349147516679021,0.5632582322357019
Mega Knight,0.49729028802582154,0.5043872538729586,0.5010511529686822,0.4566047675490583,0.4900628230124099,0.5386213838111626,0.5031019946745119,0.0,0.5986337384708215,0.5463615804177199,0.5281432748538012,0.5657812653905506,0.5021547021601571,0.5244731147224634,0.48331764526305077,0.47451860066538964,0.5046140939597316,0.5899749073963436,0.4850493445279128,0.48992807474491623,0.5312309876292841,0.479355809220423,0.6009389671361502,0.5135229020892264,0.5442626858556062,0.5516343951696856,0.5282411472051507,0.5000702751085565,0.49655505555131824,0.468635275339186,0.5174662961346777,0.5057085002800397,0.5351780211133697,0.4839685992622718,0.5362189817214722,0.4977881543376751,0.49732252517808895,0.5586291020697254,0.5697915104244787,0.5066558558188704,0.47294716740929343,0.4729780564263323,0.48526912181303117,0.4503569834895136,0.4731182795698925,0.5364298430166694,0.5298570227081582,0.5055524185958968,0.5456533055700156,0.5542872672917516,0.49300246971657063,0.5395885961746661,0.4984695585632981,0.4855750826518183,0.5702049556439278,0.46747176588420847,0.496803091723494,0.48957940518390025,0.48388364779874216,0.4843826019266323,0.5058515699333967,0.5316889632107024,0.5208368770199013,0.48040190665615035,0.5839502517026947,0.5217152281473337,0.4935322784429336,0.4665778309583379,0.5489706799750468,0.5154114365411436,0.5128348214285714,0.5600624024960998,0.5026700003086706,0.4706696476099223,0.5385502787925399,0.5008965929468021,0.556144204677607,0.46246514221974344,0.5053499132446501,0.4702420151465262,0.5232217472743864,0.5035289594375635,0.5456809040413714,0.5293267841664259,0.5214874763099934,0.5250339261481323,0.5263704858404781,0.5623606983655275,0.6472663139329806,0.5043818599506509,0.5719846227775108,0.5691456668715427,0.5707795158045045,0.5113735783027121,0.5811141694388625,0.49184468062717035,0.5163745795716056,0.53440150801131,0.5427224513847967,0.5312705727452272,0.5478332532106311,0.4978097622027534,0.5218945487042002,0.4917290711970493,0.6049585270257952,0.4872244488977956,0.48594938674118926,0.5137851809304997,0.53
Wizard,0.5975107476775997,0.5588235294117647,0.5895220844363941,0.6017262638717632,0.5886516386129781,0.6506919905771495,0.5902367941712204,0.5986337384708215,0.0,0.5932905962307804,0.5892305498788081,0.6363372093023256,0.5711267605633803,0.6154370762626871,0.5642861201068121,0.59768177028451,0.5510679611650485,0.6881632653061225,0.5602755453501722,0.5610758311542772,0.5836858006042296,0.6009869580542827,0.603448275862069,0.6279024390243902,0.6168172083061738,0.6167639257294429,0.5999558693733451,0.58319594553337,0.5503239740820735,0.5746763498579097,0.5991723944452237,0.5829283752376928,0.6533604887983707,0.5982905982905983,0.612071687983578,0.58777282328092,0.5688574317492416,0.6288243922883487,0.6218699747300712,0.6019316248696702,0.5727513227513228,0.5822078684674105,0.5849765258215962,0.5685446009389671,0.5819742489270386,0.6556152229745505,0.6260162601626016,0.5304482225656878,0.6288010425716768,0.6211046636578551,0.5939069300301306,0.6177162504524069,0.5846664918262086,0.5971355123026074,0.6399618502622795,0.5820931349015842,0.6126955942736655,0.59145935878675,0.5207100591715976,0.5901639344262295,0.6506734006734006,0.6035682226211849,0.553662150719729,0.5830730601996448,0.6777214202106906,0.6137689614935823,0.5783560023654643,0.586008719778042,0.5870588235294117,0.5949820788530465,0.6041939711664482,0.6713513513513514,0.6359982775943734,0.6008583690987125,0.6075140725225815,0.5721323011963406,0.6198669047232592,0.5923801720606309,0.6014492753623188,0.6074766355140186,0.6358095238095238,0.588152610441767,0.6010948905109489,0.6272455089820359,0.6301693580149665,0.6237378548294913,0.5597620335316387,0.6890932982917214,0.7040229885057471,0.624372432679142,0.6998378597486826,0.6240601503759399,0.6593284764016472,0.5646011865524061,0.655419271703336,0.583756345177665,0.5756434400502197,0.6041666666666666,0.5787476280834914,0.567032967032967,0.5783453462864306,0.5438225976768744,0.543046357615894,0.6273559504577275,0.6386797915460336,0.5749318801089919,0.5514592933947773,0.6429765886287625,0.6078799249530957
P.E.K.K.A,0.5086734868443562,0.5573084352865422,0.5317689746605794,0.5384615384615384,0.5508848102098546,0.6108955009343108,0.5304805756982547,0.5463615804177199,0.5932905962307804,0.0,0.5368683478761147,0.5955722235664166,0.5231740306582506,0.5061250244783394,0.49976663513087355,0.4783878504672897,0.5065493246009005,0.5431325301204819,0.5136281041792853,0.5119534180616987,0.51985559566787,0.5569547796222095,0.0,0.5515066573230554,0.562859739472887,0.5812591508052709,0.6165540540540541,0.5551907784343766,0.5061534355446161,0.47146960639701885,0.5271789730000717,0.5538415456043133,0.5740299154563191,0.5090484530064214,0.54828077959119,0.5623971024036879,0.5413934426229509,0.5674989420228523,0.5782385634886704,0.4967132386623912,0.4934093338083363,0.4569236223662885,0.4932404752150758,0.4858156028368794,0.5370237239396118,0.5204878978463884,0.563165905631659,0.5458658988070753,0.5678445229681979,0.595413241021203,0.4751614505712866,0.5972141613464886,0.5329543264598189,0.5786474164133738,0.5397267911904098,0.525851798903979,0.5716245345874975,0.5018349644128114,0.5223097112860893,0.5293612145517044,0.5191604763589199,0.5549733043306309,0.5667544189544942,0.5402552386954467,0.7149643705463183,0.5758293838862559,0.5034203980099502,0.4750981462246712,0.5626623376623376,0.544408380053113,0.5053042992741485,0.5523465703971119,0.5000756773119419,0.5192507804370448,0.5908408408408409,0.5360744763382467,0.5785470757933385,0.4622360805412896,0.5703648548026806,0.6049265750828992,0.5879120879120879,0.5386338185890257,0.6037959667852907,0.5733695652173914,0.5818505338078291,0.5483353389490574,0.5369532428355958,0.5406990201373351,0.6437659033078881,0.5643485211830536,0.6204328601349779,0.5429917550058893,0.5906735751295337,0.5111980092428012,0.626101378666943,0.5153949129852744,0.4985358711566618,0.5319148936170213,0.5644748078565329,0.5307167235494881,0.5335256780150028,0.5046886270738158,0.5968028419182948,0.5655794587092297,0.595713446858485,0.5191409897292251,0.514018691588785,0.5585062240663901,0.5986159169550173
